"","Período.do.ingresso","Turno","Turma","Id..GRACE","Situação","Tipo.ingresso","Sexo"
"7","2005/1","Diurno",102,7,"Término","Vestibular","Feminino"
"11","2005/1","Diurno",102,11,"Desistência a pedido","Vestibular","Feminino"
"23","2005/1","Diurno",102,23,"Término","Vestibular","Feminino"
"25","2005/1","Diurno",102,25,"Término","Vestibular 2 Lista","Feminino"
"28","2005/1","Diurno",102,28,"Cancelamento menos 20% dos créditos","Vestibular","Feminino"
"31","2005/1","Diurno",102,31,"Cancelamento 0 crédito","Vestibular","Feminino"
"32","2005/1","Diurno",102,32,"Término","Vestibular","Feminino"
"36","2005/1","Diurno",102,36,"Término","Vestibular","Feminino"
"41","2005/1","Noturno",104,41,"Abandono 3 semestres sem matrícula","Vestibular","Feminino"
"72","2005/1","Noturno",104,72,"Término","Vestibular","Feminino"
"80","2005/1","Noturno",104,80,"Cancelamento menos 20% dos créditos","Vestibular 2 Lista","Feminino"
"92","2005/1","Noturno",104,92,"Ingressante sem Frequência","Vestibular","Feminino"
"99","2005/1","Noturno",104,99,"Cancelamento ultrapassou prazo máximo","Vestibular","Feminino"
"101","2005/1","Noturno",104,101,"Desistência a pedido","Vestibular","Feminino"
"107","2005/1","Noturno",104,107,"Cancelamento menos 20% dos créditos","Vestibular","Feminino"
"128","2005/1","Noturno",104,128,"Término","Vestibular","Feminino"
"158","2005/1","Noturno",104,158,"Término","Vestibular","Feminino"
"161","2005/1","Noturno",104,161,"Término","Vestibular 2 Lista","Feminino"
"165","2005/1","Noturno",104,165,"Término","Vestibular","Feminino"
"173","2006/1","Diurno",102,173,"Término","Vestibular","Feminino"
"175","2006/1","Diurno",102,175,"Transferência USP","Vestibular 4 Lista","Feminino"
"182","2006/1","Diurno",102,182,"Cancelamento trancamento 4 semestres","Vestibular","Feminino"
"183","2006/1","Diurno",102,183,"Término","Vestibular","Feminino"
"192","2006/1","Diurno",102,192,"Término","Vestibular","Feminino"
"193","2006/1","Diurno",102,193,"Término","Vestibular","Feminino"
"194","2006/1","Diurno",102,194,"Abandono 3 semestres sem matrícula","Vestibular 4 Lista","Feminino"
"197","2006/1","Diurno",102,197,"Término","Vestibular 2 Lista","Feminino"
"198","2006/1","Diurno",102,198,"Desistência a pedido","Vestibular","Feminino"
"199","2006/1","Diurno",102,199,"Término","Vestibular","Feminino"
"210","2006/1","Diurno",102,210,"Encerramento novo ingresso","Vestibular","Feminino"
"226","2006/1","Noturno",104,226,"Término","Vestibular","Feminino"
