Período do ingresso,Turno,Turma,Id. GRACE,Situação,Tipo ingresso,Sexo
2005/1,Diurno,102,1,Término,Vestibular,Masculino
2005/1,Diurno,102,2,Outros,Vestibular,Masculino
2005/1,Diurno,102,3,Término,Vestibular,Masculino
2005/1,Diurno,102,4,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Diurno,102,5,Término,Vestibular,Masculino
2005/1,Diurno,102,6,Término,Vestibular,Masculino
2005/1,Diurno,102,7,Término,Vestibular,Feminino
2005/1,Diurno,102,8,Ingressante sem Frequência,Vestibular,Masculino
2005/1,Diurno,102,9,Ingressante sem Frequência,Vestibular,Masculino
2005/1,Diurno,102,10,Término,Vestibular,Masculino
2005/1,Diurno,102,11,Desistência a pedido,Vestibular,Feminino
2005/1,Diurno,102,12,Término,Vestibular,Masculino
2005/1,Diurno,102,13,Término,Vestibular,Masculino
2005/1,Diurno,102,14,Desistência a pedido,Vestibular,Masculino
2005/1,Diurno,102,15,Cancelamento 0 crédito,Vestibular,Masculino
2005/1,Diurno,102,16,Transferência USP,Vestibular,Masculino
2005/1,Diurno,102,17,Cancelamento 0 crédito,Vestibular,Masculino
2005/1,Diurno,102,18,Término,Vestibular 2 Lista,Masculino
2005/1,Diurno,102,19,Ingressante sem Frequência,Vestibular 3 Lista,Masculino
2005/1,Diurno,102,20,Término,Vestibular,Masculino
2005/1,Diurno,102,21,Cancelamento menos 20% dos créditos,Vestibular,Masculino
2005/1,Diurno,102,22,Término,Vestibular,Masculino
2005/1,Diurno,102,23,Término,Vestibular,Feminino
2005/1,Diurno,102,24,Término,Vestibular,Masculino
2005/1,Diurno,102,25,Término,Vestibular 2 Lista,Feminino
2005/1,Diurno,102,26,Término,Vestibular,Masculino
2005/1,Diurno,102,27,Transferência USP,Vestibular,Masculino
2005/1,Diurno,102,28,Cancelamento menos 20% dos créditos,Vestibular,Feminino
2005/1,Diurno,102,29,Término,Vestibular,Masculino
2005/1,Diurno,102,30,Transferência USP,Vestibular,Masculino
2005/1,Diurno,102,31,Cancelamento 0 crédito,Vestibular,Feminino
2005/1,Diurno,102,32,Término,Vestibular,Feminino
2005/1,Diurno,102,33,Término,Vestibular 4 Lista,Masculino
2005/1,Diurno,102,34,Término,Vestibular,Masculino
2005/1,Diurno,102,35,Término,Vestibular,Masculino
2005/1,Diurno,102,36,Término,Vestibular,Feminino
2005/1,Diurno,102,37,Transferência USP,Vestibular,Masculino
2005/1,Diurno,102,38,Término,Vestibular,Masculino
2005/1,Diurno,102,39,Término,Vestibular,Masculino
2005/1,Noturno,104,40,Término,Vestibular,Masculino
2005/1,Noturno,104,41,Abandono 3 semestres sem matrícula,Vestibular,Feminino
2005/1,Noturno,104,42,Cancelamento trancamento 4 semestres,Vestibular,Masculino
2005/1,Noturno,104,43,Término,Vestibular,Masculino
2005/1,Noturno,104,44,Término,Vestibular,Masculino
2005/1,Noturno,104,45,Transferência USP,Vestibular,Masculino
2005/1,Noturno,104,46,Término,Vestibular,Masculino
2005/1,Noturno,104,47,Término,Vestibular,Masculino
